Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Kia,Venga,23.59,5.25,81.17,1509.75,petrol,3089,3089,103,5270
Smart,Roadster-coupe,24.35,6.0,60.0,698.0,petrol,3132,3132,357,5246
Volvo,440,20.28,4.11,72.85,1832.89,petrol,3411,3411,283,5245
Audi,S4,95.3,6.33,253.67,3764.33,petrol,4408,4408,204,5243
Saab,9000,41.62,4.6,125.36,2336.52,petrol,4137,4137,312,5232
Hyundai,Lantra,16.45,4.67,78.0,1741.0,petrol,3397,3397,276,5204
Honda,Prelude,27.79,4.67,110.67,2050.33,petrol,3691,3691,233,5157
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,3208,3208,316,4973
Fiat,Marea,20.12,4.88,79.88,1836.88,petrol,3492,3492,247,4822
Peugeot,806,29.57,5.0,84.0,1997.14,diesel,3243,3243,241,4715
Alfa-Romeo,Spider,55.2,6.0,163.5,2696.5,petrol,3124,3124,289,4596
Mitsubishi,Galant,25.08,4.53,93.6,2127.33,petrol,3631,3631,183,4577
Suzuki,Baleno,17.59,4.08,73.08,1363.5,petrol,2715,2715,245,4438
Seat,Cordoba,17.31,4.97,66.35,1655.74,petrol,2891,2891,201,4338
Peugeot,607,48.1,5.11,117.79,2315.0,petrol,3554,3554,236,4312
Aston-Martin,Vantage,360.76,6.0,410.0,5341.0,petrol,3774,3774,159,4251
Hyundai,Elantra,19.06,4.6,89.2,1827.8,petrol,3019,3019,177,4225
Kia,Magentis,28.8,4.8,111.2,2126.8,petrol,3264,3264,150,4160
Kia,Shuma,15.16,4.67,75.0,1594.0,petrol,2644,2644,226,4036
Nissan,Serena,22.95,5.0,67.33,1908.17,petrol,2763,2763,225,4012
Hyundai,Terracan,44.63,4.33,127.67,3100.33,diesel,2950,2950,83,3856
Hyundai,Sonata,31.74,4.83,119.67,2116.0,petrol,2899,2899,176,3779
BMW,X6,125.5,8.0,282.25,3344.75,petrol,2948,2948,172,3769
Honda,Stream,27.94,5.0,103.5,1833.0,petrol,2294,2294,276,3731
Aston-Martin,DB9,273.76,6.0,381.0,5935.0,petrol,3279,3279,131,3678
Chrysler,Crossfire,56.16,5.5,174.33,3199.0,petrol,2241,2241,187,3660
Volvo,S70,36.91,4.5,126.15,2344.0,petrol,2904,2904,157,3620
Toyota,Urban,20.21,6.0,74.0,1329.0,petrol,1716,1716,265,3594
Peugeot,5008,42.51,7.14,99.52,1294.14,petrol,2202,2202,175,3570
Fiat,Idea,20.31,5.35,63.29,1344.82,diesel,1825,1825,203,3563
Mitsubishi,Grandis,30.84,4.6,121.0,2378.0,petrol,2251,2251,201,3553
Audi,Cabriolet,43.97,4.5,98.0,2309.0,petrol,2368,2368,193,3497
Peugeot,RCZ,38.94,6.0,135.56,1642.33,petrol,1854,1854,165,3471
Toyota,Camry,30.01,3.2,115.47,2245.6,petrol,2676,2676,177,3367
Porsche,944,59.49,5.0,137.5,2734.5,petrol,2804,2804,116,3241
BMW,M550i,134.79,8.0,390.0,4395.0,petrol,2858,2858,123,3180
Ssangyong,Rexton,54.27,5.67,114.0,1998.0,diesel,2263,2263,142,3180
Mercedes,Viano,57.23,5.23,120.43,2309.34,diesel,2365,2365,175,3115
Ford,Capri,11.71,4.0,69.0,1864.8,petrol,2693,2693,70,3061
Audi,RS4,121.77,6.67,316.33,3740.0,petrol,2671,2671,125,3055
Volkswagen,Transporter,35.38,6.0,103.08,1968.0,diesel,2213,2213,161,2939
Hyundai,Ix20,27.41,6.0,89.0,1552.0,petrol,1821,1821,55,2914
Mercedes,R,88.78,7.0,190.0,3377.44,petrol,1989,1989,187,2870
Nissan,Patrol,38.48,4.88,90.94,2953.59,diesel,2286,2286,117,2859
Abarth,500C,21.11,5.0,60.62,1039.5,petrol,1637,1637,142,2779
Fiat,Sedici,21.91,4.67,88.0,1586.0,petrol,1349,1349,142,2768
